index,APROVA,FRETE,UF,VALOR,DESCONTO,COND_PAGTO,CONTROLE,PERC
209,1,C,MT,318.23925,55.36,0.5,-12.31,68.7
210,1,C,SP,954.9174999999997,47.37,0.5,7.71,0.0
211,1,C,GO,206.296,55.91,21.0,-10.76,24.1
212,1,C,SC,161.2275,46.77,14.0,9.87,0.0
213,1,C,SP,779.9,47.63,21.0,1.67,52.77
214,1,C,MT,334.3110000000001,58.09,21.0,-13.13,0.0
215,1,C,MG,192.6,55.22,21.0,-13.31,83.82
216,1,C,SP,621.0745,53.66,0.5,-7.56,51.46
217,1,C,RJ,5346.529250000001,58.54,22.5,-14.51,18.97
218,1,C,SP,300.5,50.05,17.5,-6.17,100.0
219,1,C,PR,698.7689999999999,57.23,21.0,-12.35,28.34
220,1,C,RJ,4465.6,51.81,17.5,-8.31,86.75
221,1,C,SP,1823.23575,51.92,21.0,-1.09,14.83
222,1,C,PR,3192.2195,58.94,21.0,-15.07,0.0
223,1,C,SP,115.87125,53.25,21.0,-3.49,0.0
224,1,C,BA,230.9525,56.89,21.0,-6.74,0.0
225,1,C,PA,258.096,49.48,21.0,2.2,0.0
226,1,C,BA,462.0,55.23,0.5,-15.05,100.0
227,1,C,SP,181.125,50.21,21.0,0.2,0.0
228,1,C,GO,852.2500000000001,43.59,21.0,15.54,0.0
229,1,C,SP,85.55,50.73,21.0,-7.44,100.0
230,1,C,SP,153.332,52.1,0.5,-7.56,85.11
231,1,C,SP,1351.60875,51.71,17.5,-1.11,0.0
232,1,C,BA,245.25,55.91,21.0,-14.37,88.89
233,1,C,SP,226.65625,52.52,21.0,-3.46,0.0
234,1,C,BA,1569.67,57.49,21.0,-14.53,0.0
235,1,C,RS,466.714,56.9,21.0,-11.91,0.0
236,1,C,SP,135.23,51.16,17.5,-6.14,70.0
237,1,C,SP,353.26225,52.52,21.0,-0.97,0.0
238,1,C,SP,806.55,47.85,19.25,13.59,0.0
239,1,C,SP,5210.02,54.4,21.0,-7.05,0.0
240,1,C,RS,373.5,52.03,14.0,-9.66,94.44
241,1,C,SP,247.0435,49.04,19.25,0.87,31.4
242,1,C,SP,69.8175,57.0,28.0,-5.52,0.0
243,1,C,AL,497.8205,58.52,21.0,-14.41,0.0
244,1,C,RS,207.6175,48.92,19.25,1.27,38.83
245,1,C,BA,6522.0525,51.56,21.0,1.44,0.0
246,1,C,RJ,8027.925,57.95,21.0,-15.51,34.09
247,1,C,PA,278.3955,53.04,21.0,-2.96,0.0
248,1,C,MS,230.74175,53.69,21.0,-5.77,34.62
249,1,C,SP,189.54,47.28,0.5,5.93,59.26
250,1,C,CE,994.38225,50.45,21.0,1.33,67.8
251,1,C,BA,949.275,51.56,21.0,-1.8,57.78
252,1,C,SE,16124.54,55.95,21.0,-11.08,42.74
253,1,C,MS,242.3455,54.06,21.0,-5.12,26.79
254,1,C,CE,91.317,53.43,21.0,-0.5,0.0
255,1,C,SP,147.0,49.96,21.0,-4.7,82.61
256,1,F,SP,126.34375,49.89,0.5,-0.69,29.03
257,1,C,SC,156.94400000000005,48.36,0.5,6.71,0.0
258,1,C,SC,607.84425,49.96,19.25,-2.01,39.34
259,1,C,PR,345.35875,57.54,21.0,-16.61,54.29
260,1,C,PR,2438.965,57.56,21.0,-16.36,53.72
261,1,C,PR,272.15625,57.44,21.0,-17.3,66.67
262,1,C,PR,680.93875,57.52,21.0,-16.88,60.27
263,1,C,BA,573.6,45.44,21.0,12.27,0.0
264,1,C,MA,1046.8942499999996,54.57,21.0,-9.58,38.99
265,1,C,SP,298.275,49.75,21.0,1.16,0.0
266,1,C,SP,431.148,51.83,21.0,-4.33,44.44
267,1,C,SP,1232.76,47.96,17.5,6.7,0.0
268,1,C,SP,239.5665,50.74,0.5,-5.27,72.73
269,1,C,ES,264.72900000000004,50.59,30.0,-3.28,55.94
270,1,C,MT,2031.5345,58.14,21.0,-12.11,29.46
271,1,C,SP,1249.17,55.9,0.5,-6.78,0.0
272,1,C,MT,161.52175,58.24,17.5,-13.49,36.36
273,1,C,SP,563.26925,54.75,17.5,-7.32,0.0
274,1,C,SE,3890.345,54.86,0.5,-8.71,0.0
275,1,C,MT,162.8705,57.79,17.5,-14.81,60.98
276,1,C,RJ,206.05375,49.85,30.0,3.26,11.41
277,1,C,SP,89.4815,46.92,30.0,11.0,34.91
278,1,C,RS,1632.5405,48.91,21.0,2.26,0.0
279,1,C,SP,112.60775,45.98,30.0,9.61,0.0
280,1,C,CE,283.5375,50.41,21.0,-4.75,67.5
281,1,C,SP,103.21150000000002,44.81,30.0,10.76,36.27
282,1,C,BA,1224.31,56.81,21.0,-10.27,0.0
283,1,C,PA,389.0595,52.52,21.0,-2.99,0.0
284,1,C,SP,220.895,52.17,21.0,-5.51,34.48
285,1,C,CE,813.7542500000002,54.41,21.0,-11.1,68.97
286,1,C,RS,207.733,51.96,21.0,-5.16,71.43
287,1,C,BA,199.9425,54.99,21.0,-10.53,52.63
288,1,C,SP,607.7782500000002,49.48,14.0,3.06,0.0
289,1,C,SP,156.835,51.99,19.25,-5.24,30.61
290,1,C,SP,249.00000000000003,48.97,21.0,-4.15,100.0
291,1,C,SP,85.45400000000002,43.22,30.0,18.25,29.7
292,1,C,SP,400.4965,49.04,21.0,1.44,27.78
293,1,C,BA,98.3025,55.21,21.0,-7.1,0.0
294,1,C,DF,1189.23,50.6,21.0,0.08,80.99
295,1,C,SP,308.2515,47.43,30.0,3.71,71.2
296,1,C,SP,158.3355,44.02,30.0,15.78,39.1
297,1,C,MT,1342.46075,58.68,21.0,-13.33,54.35
298,1,C,SP,244.3,48.7,14.0,-3.64,100.0
299,1,C,BA,9257.73,57.68,21.0,-15.64,58.14
300,1,C,SP,185.7225,46.17,30.0,10.15,20.99
301,1,C,SP,98.245,46.77,14.0,8.06,0.0
302,1,C,PE,272.10525,52.56,19.25,-7.14,63.06
303,1,C,SP,145.28375,47.8,30.0,4.13,47.75
304,1,C,BA,2121.8625,56.27,21.0,-12.46,47.62
305,1,C,SP,264.58925,45.44,30.0,11.89,12.34
306,1,C,RJ,370.3625,58.55,22.5,-13.42,0.0
307,1,C,RJ,804.87,58.55,22.5,-13.42,0.0
308,1,C,SP,116.24925,43.98,30.0,12.69,11.11
309,1,C,PR,744.29625,49.77,0.5,-0.17,29.86
310,1,C,CE,8807.6085,50.63,21.0,-1.79,0.0
311,1,C,CE,3425.9929999999995,51.24,21.0,-5.94,78.43
312,1,C,BA,316.5300000000001,54.9,21.0,-10.79,57.47
313,1,C,SP,1038.995,51.0,21.0,-6.13,69.75
314,1,C,CE,216.04575000000003,49.76,21.0,-0.41,30.0
315,1,C,RJ,113.9865,49.55,30.0,3.64,10.93
316,1,C,SP,238.53625,52.7,21.0,-5.18,21.88
317,1,C,CE,190.45675,49.57,0.5,-0.96,39.29
318,1,C,SP,240.91,53.04,21.0,-2.94,0.0
319,1,C,RJ,615.4535,50.59,30.0,-2.42,42.09
320,1,C,RS,510.18300000000005,55.3,21.0,-13.13,84.82
321,1,C,RJ,170.5205,49.95,30.0,1.26,30.21
322,1,C,PB,486.275,51.6,21.0,-6.54,52.36
323,1,C,RS,237.15525,46.77,19.25,14.02,0.0
324,1,C,PB,1055.642,53.88,21.0,-7.89,0.0
325,1,C,SP,260.00225,50.57,19.25,-2.92,47.37
326,1,C,RJ,230.43875,48.72,30.0,4.09,9.62
327,1,C,MT,3768.583750000001,61.93,21.0,-20.88,0.0
328,1,C,RS,471.72625000000005,56.14,21.0,-12.26,44.72
329,1,C,MT,4687.854,60.9,21.0,-19.55,25.75
330,1,F,BA,123.02899999999998,48.9,17.5,9.51,0.0
331,1,C,SP,164.75,52.03,21.0,-4.22,20.0
332,1,C,SP,336.7095,47.85,21.0,4.34,11.11
333,1,C,SP,840.0,51.06,19.25,-0.74,0.0
334,1,C,MT,260.55,55.33,17.5,-15.24,100.0
335,1,C,RJ,450.37825,51.12,30.0,-3.61,44.62
336,1,C,GO,775.3875,44.58,21.0,12.92,0.0
337,1,C,MT,218.26375,54.71,17.5,-7.95,38.46
338,1,C,SP,276.78000000000003,51.23,21.0,-8.38,100.0
339,1,C,SP,242.275,50.74,21.0,-6.61,81.31
340,1,C,PB,593.45,50.81,21.0,-4.51,49.34
341,1,C,RJ,215.9005,49.26,30.0,4.27,0.88
342,1,C,BA,3786.25,48.89,21.0,4.16,0.0
343,1,C,SP,217.8795,47.92,19.25,-1.43,98.68
344,1,C,RJ,418.1395,50.73,30.0,-2.38,46.77
345,1,C,SP,152.31074999999996,46.1,30.0,8.38,49.37
346,1,C,SP,91.75725,44.79,20.0,13.71,8.13
347,1,C,PB,949.2,52.46,21.0,-2.57,0.0
348,1,C,SP,1067.37,51.13,21.0,-6.33,70.87
349,1,C,SP,489.096,52.85,21.0,-8.16,49.11
350,1,C,MG,136.02700000000002,55.84,21.0,-10.79,29.73
351,1,C,SE,496.6495,53.1,21.0,-2.09,11.49
352,1,C,SP,125.55,52.51,21.0,0.06,0.0
353,1,C,CE,1115.124,51.28,21.0,-7.69,91.3
354,1,C,SP,122.3185,44.7,30.0,10.09,22.5
355,1,C,SE,886.9012500000003,56.84,21.0,-9.9,9.39
356,1,C,MT,552.6635,56.29,21.0,-12.34,34.68
357,1,C,SE,717.9475,56.16,21.0,-8.78,24.0
358,1,C,RJ,283.053,50.02,30.0,0.08,24.86
359,1,C,CE,306.7435,50.57,21.0,-3.47,69.23
360,1,C,RS,189.72225,51.44,0.5,-3.9,21.05
361,1,C,SP,101.1055,46.41,30.0,12.22,38.82
362,1,C,SP,252.04125,46.74,30.0,6.86,27.39
363,1,C,RS,690.3140000000002,52.45,21.0,-7.25,54.23
364,1,C,SP,234.67225,45.98,30.0,9.32,21.73
365,1,C,PR,281.38575000000003,57.61,21.0,-11.56,0.0
366,1,C,SP,103.47475,48.16,30.0,1.35,46.51
367,1,C,SP,401.25,55.14,25.0,-7.41,0.0
368,1,C,SP,107.0,55.03,21.0,-7.23,0.0
369,1,C,SP,133.029,46.48,30.0,10.16,37.65
370,1,C,SP,135.92175,45.72,30.0,9.6,22.92
371,1,C,SP,180.297,47.33,30.0,3.45,62.74
372,1,C,SP,95.758,44.71,30.0,13.48,0.0
373,1,C,SP,1154.5745000000004,55.46,21.0,-8.25,0.0
374,1,C,SP,169.5595,45.21,30.0,9.03,36.34
375,1,C,SP,801.58425,54.99,21.0,-8.8,29.76
376,1,C,SP,333.35,51.96,21.0,-7.11,69.23
377,1,C,SP,96.10675,45.5,30.0,12.42,28.48
378,1,C,RJ,294.94575,50.93,30.0,-2.23,44.21
379,1,C,MG,213.611,49.49,14.0,-2.11,71.43
380,1,C,SP,413.25,51.96,14.0,-2.8,0.0
381,1,C,SP,625.97825,53.77,21.0,-8.76,47.46
382,1,C,SP,273.16275,46.04,30.0,9.31,9.21
383,1,C,PR,1215.5,52.27,21.0,-3.42,0.0
384,1,C,SP,204.1875,46.11,30.0,8.89,13.52
385,1,C,SP,141.81525,54.48,17.5,-5.01,0.0
386,1,C,SP,219.383,46.47,30.0,8.85,25.61
387,1,C,SP,1150.75,55.45,21.0,-7.08,37.97
388,1,C,SP,209.8275,49.84,21.0,0.22,10.53
389,1,C,SP,174.95325,45.33,30.0,12.13,18.37
390,1,C,BA,994.23,53.42,21.0,-8.52,58.95
391,1,C,PE,9980.35375,58.9,21.0,-13.76,40.34
392,1,C,SP,149.17925,50.96,17.5,-2.9,46.15
393,1,C,SP,273.25300000000004,47.85,0.5,0.55,70.65
394,1,C,BA,667.8465,52.99,21.0,-5.06,30.38
395,1,C,SP,20816.83775,60.1,28.0,-15.85,0.68
396,1,C,SP,5784.92875,53.63,17.5,-7.44,74.79
397,1,C,PA,4661.66,51.51,21.0,2.7,0.0
